session_pitch,pitch_speed_mph,transfer_energy_fp_br,session_mass_pounds,session_height_feet
2979_5,83.6,1.0229478581940858,224.00350156799996,6.583333544
2981_1,82.5,-0.3555903463516244,189.002954448,6.083333528
2981_2,82.5,-0.3528880469379221,189.002954448,6.083333528
2981_3,82.5,-0.31290206622410294,189.002954448,6.083333528
2981_4,83.8,-0.08150636788846416,189.002954448,6.083333528
2989_1,80.5,-0.9193871506624569,185.00289191999997,5.916666856
2989_2,80.9,-1.083889810799141,185.00289191999997,5.916666856
2989_3,80.8,-1.2863926385227817,185.00289191999997,5.916666856
2989_4,81.4,-1.226570086978383,185.00289191999997,5.916666856
2989_5,81.2,-0.8950268760553494,185.00289191999997,5.916666856
2990_2,81.8,-1.5070608492788613,183.00286065599997,6.083333528
2990_3,81.6,-1.485761778464634,183.00286065599997,6.083333528
2990_4,81.4,-0.7207093990117494,183.00286065599997,6.083333528
2990_5,81.4,-1.0201038417415547,183.00286065599997,6.083333528
2993_1,91.3,2.43197105481286,214.003345248,6.083333528
2993_2,90.9,3.7892715515372832,214.003345248,6.083333528
2993_3,91.6,2.8200325846035166,214.003345248,6.083333528
2993_4,90.6,3.2957217208412417,214.003345248,6.083333528
2996_1,88.9,1.4131834908614775,229.00357972799998,6.333333536
2996_2,89.4,1.4426532672314965,229.00357972799998,6.333333536
2996_3,88.7,1.5324029130608277,229.00357972799998,6.333333536
2996_4,86.3,1.3613569244078056,229.00357972799998,6.333333536
2999_1,84.1,1.1127332998423582,212.003313984,6.333333536
2999_2,84.3,1.3992362366365132,212.003313984,6.333333536
2999_3,84.4,1.874356493868833,212.003313984,6.333333536
2999_4,83.4,1.8243688372814604,212.003313984,6.333333536
2999_5,83.8,1.873931518779096,212.003313984,6.333333536
3034_1,80.9,-1.7162122501627801,207.003235824,6.083333528
3034_2,81.4,-1.225005426272808,207.003235824,6.083333528
3034_3,80.3,-1.4914252718756735,207.003235824,6.083333528
3034_4,79.8,-1.6401680385112505,207.003235824,6.083333528
3034_5,79.9,-1.6404563962495655,207.003235824,6.083333528
3035_1,86.9,2.2825086996187394,204.003188928,5.750000184
3035_2,86.1,2.509474047885082,204.003188928,5.750000184
3035_3,85.2,2.015745224571788,204.003188928,5.750000184
3035_4,86.7,2.5678202699764645,204.003188928,5.750000184
3035_5,85.3,2.3011520711613493,204.003188928,5.750000184
3036_1,86.1,-0.3964765145364633,200.00312639999999,6.083333528
3036_2,86.4,-0.536600482133273,200.00312639999999,6.083333528
3036_3,87.2,-0.7066213196113278,200.00312639999999,6.083333528
3036_4,87.6,-0.10387493070893676,200.00312639999999,6.083333528
3037_1,89.5,0.9025410973181869,208.003251456,6.166666864
3037_2,88.7,1.000711846210726,208.003251456,6.166666864
3037_3,88.9,1.4480338194519897,208.003251456,6.166666864
3037_4,88.8,0.08947943354482056,208.003251456,6.166666864
3037_5,88.6,0.7935606796566306,208.003251456,6.166666864
3043_1,87.9,2.450910857839293,236.00368915199996,6.000000192
3043_2,86.9,2.255961375308056,236.00368915199996,6.000000192
3043_3,87.0,2.4408428282319132,236.00368915199996,6.000000192
3043_4,87.5,2.3819491607019927,236.00368915199996,6.000000192
3043_5,86.9,2.5365858631877236,236.00368915199996,6.000000192
3044_1,87.1,3.2673014438631873,253.00395489599998,6.166666864
3044_2,87.3,3.5880768439377237,253.00395489599998,6.166666864
3044_3,87.8,3.7203267637458457,253.00395489599998,6.166666864
3044_4,87.8,3.237237851436874,253.00395489599998,6.166666864
3044_5,87.8,3.5836595568362766,253.00395489599998,6.166666864
3046_1,82.1,-1.0528452472708572,174.00271996799998,5.750000184
3046_2,81.9,-0.9885846345570038,174.00271996799998,5.750000184
3046_3,81.7,-1.000863434847589,174.00271996799998,5.750000184
3046_4,82.3,-0.8552094188611541,174.00271996799998,5.750000184
3053_1,81.4,-0.9389703189570483,207.003235824,6.083333528
3053_2,81.4,-0.9969160523816086,207.003235824,6.083333528
3053_3,81.6,-1.5858744166301675,207.003235824,6.083333528
3053_4,81.3,-1.1957346473972068,207.003235824,6.083333528
3053_5,80.9,-0.8251108208704939,207.003235824,6.083333528
3055_1,78.8,-1.1621800211010207,206.00322019199996,6.2500002
3055_2,78.5,-0.8717974735975474,206.00322019199996,6.2500002
3055_3,80.5,-0.7133295349687182,206.00322019199996,6.2500002
3055_4,79.3,-0.8744553440558921,206.00322019199996,6.2500002
3055_5,78.3,-1.2155532518124372,206.00322019199996,6.2500002
3065_1,89.2,-0.32019641955234524,182.00284502399998,6.000000192
3065_2,89.4,-0.6751591149849322,182.00284502399998,6.000000192
3065_3,88.9,-0.5486008104935454,182.00284502399998,6.000000192
3065_4,89.3,-0.41790560667363175,182.00284502399998,6.000000192
3065_5,89.1,-0.6171188047193625,182.00284502399998,6.000000192
3132_1,92.4,1.4528988093533672,216.00337651199996,6.000000192
3132_2,92.2,1.7558822401811842,216.00337651199996,6.000000192
3132_3,92.1,1.6027207405558759,216.00337651199996,6.000000192
3132_4,91.8,1.8258639018313332,216.00337651199996,6.000000192
3132_5,91.9,1.6914418582480555,216.00337651199996,6.000000192
3140_1,84.9,0.5526599017346183,185.00289191999997,5.750000184
3140_2,84.5,0.34510199466008773,185.00289191999997,5.750000184
3140_3,85.8,-0.29435529917367975,185.00289191999997,5.750000184
3140_4,84.3,-0.22756230313087963,185.00289191999997,5.750000184
3140_5,84.4,0.11192747296886205,185.00289191999997,5.750000184
3172_1,78.3,-2.598990290942303,162.00253238399998,6.000000192
3172_2,79.2,-2.2043934245129897,162.00253238399998,6.000000192
3172_3,78.2,-2.38909927269872,162.00253238399998,6.000000192
3172_4,78.8,-2.268061231788423,162.00253238399998,6.000000192
3172_5,77.4,-2.5218056285679693,162.00253238399998,6.000000192
3222_1,77.8,-1.8983541619015194,193.00301697599997,5.583333512
3222_2,77.1,-1.9984813652073838,193.00301697599997,5.583333512
3222_3,77.9,-1.833457544827653,193.00301697599997,5.583333512
3222_4,77.2,-2.2226879257777403,193.00301697599997,5.583333512
3222_5,78.1,-1.6965192164249012,193.00301697599997,5.583333512
3228_1,90.6,2.011660939982062,207.003235824,6.083333528
3228_2,91.1,1.9928399133551475,207.003235824,6.083333528
3228_3,92.0,2.064387461062061,207.003235824,6.083333528
3228_4,90.6,1.7994756290999119,207.003235824,6.083333528
3228_5,90.8,2.473552712773067,207.003235824,6.083333528
3232_1,82.8,-0.31899534193034423,188.00293881599998,5.916666856
3232_2,83.4,-0.2021648373430453,188.00293881599998,5.916666856
3232_3,83.3,-0.34209753017021716,188.00293881599998,5.916666856
3232_4,82.9,0.08929720965541085,188.00293881599998,5.916666856
3232_5,82.8,-0.3443122902266645,188.00293881599998,5.916666856
3233_1,85.7,-1.5038646021688555,178.00278249599998,6.2500002
3233_2,86.5,-1.0986893082732956,178.00278249599998,6.2500002
3233_3,85.1,-1.1446473690387315,178.00278249599998,6.2500002
3233_4,86.1,-1.245305937223124,178.00278249599998,6.2500002
3233_5,85.8,-1.3386445715763948,178.00278249599998,6.2500002
3247_1,83.1,0.11746655202991997,194.00303260799998,5.83333352
3247_2,84.7,0.25665974408777004,194.00303260799998,5.83333352
3247_3,82.1,-0.13468619109756003,194.00303260799998,5.83333352
3247_4,84.6,0.3608727891841174,194.00303260799998,5.83333352
3247_5,83.3,-0.11725341761945149,194.00303260799998,5.83333352
3248_1,89.8,0.4402568567405741,179.002798128,6.000000192
3248_2,90.6,0.5216503896607703,179.002798128,6.000000192
3248_3,91.1,0.5885920647889333,179.002798128,6.000000192
3248_4,91.4,0.5379324111146235,179.002798128,6.000000192
3248_5,90.5,0.45468256489123304,179.002798128,6.000000192
3250_1,90.0,2.084476281288873,184.00287628799998,6.166666864
3250_2,90.4,2.0499928956501337,184.00287628799998,6.166666864
3250_3,89.5,2.0842210285514318,184.00287628799998,6.166666864
3250_4,89.2,2.047993705642844,184.00287628799998,6.166666864
3252_1,80.8,0.9098514382320564,195.00304823999997,6.166666864
3252_2,80.8,0.9637796799015872,195.00304823999997,6.166666864
3252_3,80.8,1.0645315044984998,195.00304823999997,6.166666864
3252_4,83.3,1.2077977099464514,195.00304823999997,6.166666864
3252_5,81.2,1.0996233428024524,195.00304823999997,6.166666864
